codigo_de_osinergmin,razon_social,ruc,direccion,distrito,n
118240,INVERSIONES PICORP S.A.C.,20428254687,"AV. UNIVERSITARIA CRUCE CON AV. MANUEL PRADO MZ. B LOTE 04,05,06,07 Y 08 PROGRAMA DE VIVIENDA SANTA ROSA",CARABAYLLO,263
118280,INVERSIONES ELCHER S.A.C.,20537883601,AV SANTA ROSA MZ D LTE 1 ASOC. DE PROP. LOS PARRALES DE PUENTE PIEDRA,PUENTE PIEDRA,44
118693,NEGOCIACIONES & COMBUSTIBLES OSBERAL S.A.C.,20551379192,"MZ. A LOTE 1, URB. LOS TULIPANES",LURIGANCHO,47
118799,CORPORACION ALEGROUP E.I.R.L.,20601007861,"LOTE25,MZ.N¿, AGRUPAMIENTO PACHACAMAC,SECTOR SEGUNDO,PARCELA¿A¿/BARRIO1(ALT.INTERSECC DE LAS AV.SEPARADORA INDUSTRIAL Y AV.PROLONGACION UNIVERSITARIA)",VILLA EL SALVADOR,47
118799,CORPORACION ALEGROUP E.I.R.L.,20601007861,"LOTE25,MZ.N¿,AGRUPAMIENTO PACHACAMAC,SECTOR SEGUNDO,PARCELA¿A¿/BARRIO1(ALT.INTERSECC DE LAS AV.SEPARADORA INDUSTRIAL Y AV.PROLONGACION UNIVERSITARIA)",VILLA EL SALVADOR,64
121053,EMPRESA DE TRANSPORTES E INVERSIONES CLARA VALENCIA S.R.L.,20514095079,"SECTOR 1, GRUPO 22, MZ. I, LOTE 01",VILLA EL SALVADOR,135
121126,INVERSIONES HM SEÑOR DE MURUHUAY SAC,20543693791,"AV. ANDRES AVELINO CACERES LT 15, ZONA H,  PJ PROYECTO ESPECIAL HUAYCAN",ATE,40
121358,SUSOLI S.R.L,20477909133,"AV. CHOSICA ¿ CARRETERA CAJAMARQUILLA, PARCELA 89, LOTE 89-B, URB. CAJAMARQUILLA, SEGUNDA ETAPA, ESQUINA CALLE 03.",LURIGANCHO,148
121965,S Y M COMERCIAL DEL PERU S.A.C,20600438167,AV. LAS TORRES Y ESQ AV CAJAMARQUILLA (AV MEDIA LUNA) PARCELA PREDIAL MZ E LTE 7,LURIGANCHO,104
122618,BECSABETH ROSALIA VILCAPOMA VELAZCO DE FLORES,10069186233,PARCELA 6 COOPERATIVA AGRARIA MARIA PARADO DE BELLIDO,CARABAYLLO,3
123796,AR ENERGIA S.A.C.,20600684095,AV. UNIVERSITARIA N° 100 ¿ URB. SANTA ISABEL,CARABAYLLO,105
123805,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,AV. INDUSTRIAL MZ F LT 5 URB. LAS VEGAS ESQUINA AV. SAN JUAN,PUENTE PIEDRA,21
123985,ESTACION DE SERVICIOS GRIFO DENVER S.R.L.,20511172633,"CARRETERA CENTRAL SUB PARCELA 8A DE LA PARCELA N°10015 EX FUNDO PARIACHI MZ. A LT. 1 Y 2, PROGRAMA DE VIVIENDA ""LAS PONCIANAS DE PARIACHI""",ATE,154
124260,SHIN S.A.C.,20563372029,AV. SAN MARTIN DE PORRAS MZ CL 1 LOTE 18-19 CANTO GRANDE,SAN JUAN DE LURIGANCHO,69
124883,ENVASADORA SAN GABRIEL S.R.L.,20292391189,AV. EL TRIUNFO CON CALLE 16 S/N INTERIOR,CARABAYLLO,46
125601,COESTI S.A,20514300691,AV. REPUBLICA DE CROACIA (ANTES AV. LEONCIO PRADO)CON AV. COPACABANA KM 35 PAN. NORTE MZ N LT 186,PUENTE PIEDRA,181
125695,GRUPPE AR S.A.C.,20511978794,"AV HEROES DEL ALTO CENEPA, LTE 27 (AUTOPISTA TRAPICHE - CHILLON)",COMAS,114
125850,ALTA VIDDA GAS S.A.C,20513567139,"MZ N, LOTE 9 PARCELACION SEMI RUSTICA DEL FUNDO CANTO GRANDE  2DA ETAPA",SAN JUAN DE LURIGANCHO,51
125855,GASBRA S.A.C.,20507401881,DEFENSORES DEL MORRO N° 1391 H.U. EL MORRO,CHORRILLOS,125
126097,ESTACION DE SERVICIOS HERCO S.A.C.,20348303636,LOTIZACION SEMI RUSTICA LEONCIO PRADO LOTE 108 MZ I,PUENTE PIEDRA,119
128675,DELTA CHOCAS E.I.R.L.,20601029741,ALFREDO MENDIOLA 700 - 704 URB. PALAO,SAN MARTIN DE PORRES,49
129641,DISCOM  D&M  S.A.C.,10092033584,"SUB LOTE 1-A QUE FORMO PARTE DEL LOTE 1 DE LA MZ F, URB. CANTO GRANDE UNIDAD 12",SAN JUAN DE LURIGANCHO,44
130599,ESTACION PETROGAS SUR S.A.C.,20602232345,AV. RETAMAL S/N MZ. I LT. 10 AL 15 ASOCIACION DE VIVIENDA ECOLOGICA-AVIECO QUEBRADA RETAMAL,PACHACAMAC,20
