precio_de_venta;COMPRADA_FE;SUMINISTRO;vecino_pecsa_thiessen_fe;sc
10,890000;0;0;0;0,45238095
10,260000;0;0;0;0,16666667
11,090000;0;0;0;0,20408163
10,890000;0;0;0;0,14285714
10,550000;0;0;0;0,17857143
10,400000;0;0;0;0,14285714
10,180000;0;0;0;0,23809524
11,190000;0;0;0;0,37142857
11,150000;0;0;0;0,65000000
11,096667;0;0;0;0,22222222
10,680000;0;0;0;0,37500000
10,980000;0;0;0;0,22448980
10,990000;0;0;0;0,32812500
10,730000;0;0;0;0,22916667
10,240000;0;0;0;0,14285714
11,090000;0;0;0;0,20000000
11,150000;0;0;0;0,14062500
11,220000;0;0;0;0,20833333
11,090000;0;0;0;0,37142857
13,590000;0;0;0;0,42857143
10,390000;0;0;0;0,30000000
11,750000;0;0;0;0,19047619
11,050000;0;0;0;0,23809524
10,590000;0;0;0;0,12500000
10,420000;0;0;0;0,16666667
10,090000;0;0;0;0,15277778
10,250000;0;0;0;0,14285714
11,041667;0;0;0;0,19047619
10,890000;0;0;0;0,19444444
10,490000;0;0;0;0,17460317
10,250000;0;0;0;0,20000000
10,590000;0;0;0;0,33333333
10,590000;0;0;0;0,31428571
10,590000;0;0;0;0,25000000
10,490000;0;0;0;0,16666667
10,130000;0;0;0;0,12500000
 9,780000;0;0;0;0,14814815
10,120000;0;0;0;0,17857143
10,365000;0;0;0;0,12345679
 9,800000;0;0;0;0,12000000
11,250000;0;0;0;0,46428571
10,150000;0;0;0;0,18367347
 9,550000;0;0;0;0,29166667
10,890000;0;0;0;0,14814815
10,890000;0;0;0;0,38888889
10,190000;0;0;0;0,16071429
11,990000;0;0;0;0,25000000
10,290000;0;0;0;0,25000000
10,370000;0;0;0;0,16666667
10,890000;0;0;0;0,23333333
10,490000;0;0;0;0,16666667
11,080000;0;0;0;0,25000000
10,990000;0;0;0;0,20000000
11,150000;0;0;0;0,31111111
10,240000;0;0;0;0,14285714
 9,980000;0;0;0;0,14285714
10,390000;0;0;0;0,14285714
 9,990000;0;0;0;0,19642857
 9,840000;0;0;0;0,20312500
11,190000;0;0;0;0,15625000
 9,970000;0;0;0;0,12500000
10,690000;0;0;0;0,18367347
10,175000;0;0;0;0,16666667
 9,953333;0;0;0;0,11111111
10,420000;0;0;0;0,16326531
10,150000;0;0;0;0,14285714
 9,980000;0;0;0;0,16326531
 9,740000;0;0;0;0,24000000
10,240000;0;0;0;0,20000000
10,410000;0;0;0;0,10000000
 9,980000;0;0;0;0,16666667
 8,500000;0;0;0;0,10000000
10,200000;0;0;0;0,16666667
10,590000;0;0;0;0,16666667
10,890000;0;0;0;0,25000000
10,272000;0;0;0;0,47916667
10,090000;0;0;0;0,16326531
11,290000;0;0;0;0,16666667
10,170000;0;0;0;0,25000000
11,340000;0;0;0;0,18367347
10,190000;0;0;0;0,12500000
10,050000;0;0;0;0,20000000
11,550000;0;0;0;0,35000000
11,150000;0;0;0;0,18750000
10,500000;0;0;0;0,12500000
10,090000;0;0;0;0,11000000
10,320000;0;0;0;0,14285714
10,390000;0;0;0;0,14285714
10,150000;0;0;0;0,20000000
10,360000;0;0;0;0,12500000
10,590000;0;0;0;0,22448980
12,010000;0;0;0;0,22222222
11,150000;0;0;0;1,10000000
10,366000;0;0;0;0,16666667
10,490000;0;0;0;0,16666667
11,150000;0;0;0;0,18750000
10,990000;0;0;0;0,22916667
11,450000;0;0;0;0,14814815
11,350000;0;0;0;0,25000000
 9,990000;0;0;0;0,35000000
10,750000;0;0;0;0,20408163
 9,980000;0;0;0;0,12345679
10,290000;0;0;0;0,16666667
10,490000;0;0;0;0,14285714
 9,990000;0;0;0;0,19047619
10,980000;0;0;0;0,15873016
10,690000;0;0;0;0,22448980
 9,810000;0;0;0;0,33333333
10,090000;0;0;0;0,29166667
10,390000;0;0;0;0,16666667
 9,800000;0;0;0;0,16666667
10,390000;0;0;0;0,16666667
 9,990000;0;0;0;0,37500000
 9,890000;0;0;0;0,20000000
 9,780000;0;0;0;0,17857143
10,860000;0;0;0;0,51428571
 9,890000;0;0;0;0,16666667
10,290000;0;0;0;0,20000000
10,730000;0;0;0;0,14285714
10,190000;0;0;0;0,20000000
10,490000;0;0;0;0,16666667
11,090000;0;0;0;0,60000000
10,100000;0;0;0;0,14285714
11,190000;0;0;0;0,13580247
11,290000;0;0;0;0,16666667
11,290000;0;0;0;0,12500000
10,290000;0;0;0;0,23333333
11,750000;0;0;0;0,45000000
11,000000;0;0;0;0,14285714
10,300000;0;0;0;0,22448980
11,350000;0;0;0;0,12222222
10,590000;0;0;0;0,16666667
11,243333;0;0;0;0,33333333
11,150000;0;0;0;1,21428571
10,150000;0;0;0;0,17187500
 9,980000;0;0;0;0,16666667
10,940000;0;0;0;0,20000000
11,050000;0;0;0;0,23333333
10,350000;0;0;0;0,14285714
11,290000;0;0;0;0,25000000
 9,990000;0;0;0;0,23333333
10,190000;0;0;0;0,14285714
10,290000;0;0;0;0,19047619
10,700000;0;0;0;0,20000000
10,990000;0;0;0;0,16326531
10,685000;0;0;0;0,18367347
 9,890000;0;0;0;0,11111111
10,190000;0;0;0;0,25000000
10,990000;0;0;0;0,35714286
11,450000;0;0;0;0,22222222
10,835000;0;0;0;0,17857143
11,550000;0;0;0;0,16666667
 9,750000;0;0;0;0,16666667
11,400000;0;0;0;0,14814815
 9,980000;0;0;0;0,33333333
12,150000;0;0;0;0,16666667
10,490000;0;0;0;0,20000000
10,090000;0;0;0;0,27777778
11,776667;0;0;0;0,29166667
11,250000;0;0;0;0,14285714
 9,820000;0;0;0;0,14285714
10,590000;0;0;0;0,20000000
