codigo_de_osinergmin,grifo_distancia,distancia,distancia_min
18824,19957,4.493456963421461e-4,4.493456963421461e-4
19957,18824,4.493456963421461e-4,4.493456963421461e-4
8941,34671,0.001711932176520571,0.001711932176520571
34671,8941,0.001711932176520571,0.001711932176520571
16641,V231,0.0017733188091866568,0.0017733188091866568
16805,16641,0.0017733188091866568,0.0017733188091866568
7054,9539,0.005770111341276518,0.005770111341276518
9539,7054,0.005770111341276518,0.005770111341276518
14691,16617,0.009569376259904264,0.009569376259904264
16617,14691,0.009569376259904264,0.009569376259904264
6876,21558,0.009812736304665358,0.009812736304665358
21558,6876,0.009812736304665358,0.009812736304665358
9573,16804,0.013293592907287658,0.013293592907287658
16804,9573,0.013293592907287658,0.013293592907287658
31927,31927,0.013747965832637848,0.013747965832637848
31927,V250,0.013747965832637848,0.013747965832637848
19953,19953,0.014417368558403542,0.014417368558403542
19953,V263,0.014417368558403542,0.014417368558403542
8101,8336,0.015173639138463242,0.015173639138463242
8336,8101,0.015173639138463242,0.015173639138463242
7461,83435,0.01828482350426701,0.01828482350426701
83435,7461,0.01828482350426701,0.01828482350426701
7161,86266,0.019284831685737955,0.019284831685737955
86266,7161,0.019284831685737955,0.019284831685737955
7041,7041,0.021412060104263907,0.021412060104263907
7041,V247,0.021412060104263907,0.021412060104263907
8344,17946,0.028349620136273037,0.028349620136273037
17946,8344,0.028349620136273037,0.028349620136273037
6826,20129,0.03662657278510479,0.03662657278510479
20129,6826,0.03662657278510479,0.03662657278510479
19955,19955,0.05686776283769928,0.05686776283769928
19955,V262,0.05686776283769928,0.05686776283769928
16622,87014,0.05702429021949265,0.05702429021949265
87014,16622,0.05702429021949265,0.05702429021949265
9520,21052,0.06985977414007054,0.06985977414007054
21052,9520,0.06985977414007054,0.06985977414007054
7086,18871,0.07898861511778568,0.07898861511778568
18871,7086,0.07898861511778568,0.07898861511778568
8228,82460,0.08051173202056977,0.08051173202056977
82460,8228,0.08051173202056977,0.08051173202056977
9622,42755,0.08113174423770073,0.08113174423770073
42755,9622,0.08113174423770073,0.08113174423770073
39429,83435,0.08584128103630394,0.08584128103630394
19988,38667,0.09040688915522593,0.09040688915522593
38667,19988,0.09040688915522593,0.09040688915522593
15206,17879,0.09253307719894562,0.09253307719894562
17879,15206,0.09253307719894562,0.09253307719894562
16703,19962,0.09638395451551933,0.09638395451551933
19962,16703,0.09638395451551933,0.09638395451551933
8546,82834,0.09730286550087602,0.09730286550087602
82834,8546,0.09730286550087602,0.09730286550087602
16640,21001,0.0986221515331166,0.0986221515331166
21001,16640,0.0986221515331166,0.0986221515331166
9364,17869,0.1065188329753461,0.1065188329753461
17869,9364,0.1065188329753461,0.1065188329753461
8033,40353,0.1068147206365633,0.1068147206365633
40353,8033,0.1068147206365633,0.1068147206365633
9518,19953,0.10713712867434397,0.10713712867434397
18687,19962,0.10832631160139461,0.10832631160139461
13930,35059,0.10961594771704943,0.10961594771704943
35059,13930,0.10961594771704943,0.10961594771704943
16644,19958,0.10973002453040008,0.10973002453040008
19958,16644,0.10973002453040008,0.10973002453040008
17944,94684,0.11126728577002773,0.11126728577002773
94684,17944,0.11126728577002773,0.11126728577002773
14665,16143,0.12412872581505534,0.12412872581505534
16143,14665,0.12412872581505534,0.12412872581505534
43627,92272,0.12621743173319164,0.12621743173319164
92272,43627,0.12621743173319164,0.12621743173319164
14645,19958,0.13039320839179988,0.13039320839179988
16612,16671,0.13292308173824932,0.13292308173824932
16671,16612,0.13292308173824932,0.13292308173824932
16750,42755,0.13716984884347783,0.13716984884347783
9464,100155,0.13789512056760528,0.13789512056760528
100155,9464,0.13789512056760528,0.13789512056760528
33342,114073,0.1500167581536036,0.1500167581536036
114073,33342,0.1500167581536036,0.1500167581536036
8247,19963,0.15042599561543682,0.15042599561543682
19963,8247,0.15042599561543682,0.15042599561543682
18289,116243,0.1514939781850382,0.1514939781850382
116243,18289,0.1514939781850382,0.1514939781850382
15219,15223,0.15270185876615527,0.15270185876615527
15223,15219,0.15270185876615527,0.15270185876615527
8224,21052,0.15865443649381492,0.15865443649381492
19951,19952,0.16559068690457387,0.16559068690457387
19952,19951,0.16559068690457387,0.16559068690457387
9515,19945,0.16881740616269592,0.16881740616269592
19945,9515,0.16881740616269592,0.16881740616269592
9484,116243,0.1736411970522239,0.1736411970522239
6961,19953,0.1749968365763708,0.1749968365763708
8035,87554,0.1761408646388576,0.1761408646388576
87554,8035,0.1761408646388576,0.1761408646388576
19944,62240,0.18657761316412244,0.18657761316412244
62240,19944,0.18657761316412244,0.18657761316412244
18401,15206,0.1932472926711282,0.1932472926711282
16817,38655,0.1949541415089279,0.1949541415089279
38655,16817,0.1949541415089279,0.1949541415089279
9329,18550,0.20152299873812335,0.20152299873812335
18550,9329,0.20152299873812335,0.20152299873812335
9087,39783,0.2062145750009309,0.2062145750009309
39783,9087,0.2062145750009309,0.2062145750009309
6957,89061,0.21010045150067133,0.21010045150067133
89061,6957,0.21010045150067133,0.21010045150067133
7170,18872,0.21694678435144088,0.21694678435144088
18872,7170,0.21694678435144088,0.21694678435144088
9220,18351,0.22749652513471708,0.22749652513471708
18351,9220,0.22749652513471708,0.22749652513471708
8258,9080,0.23258985388510497,0.23258985388510497
9080,8258,0.23258985388510497,0.23258985388510497
18883,16622,0.23542800526317603,0.23542800526317603
6780,19984,0.23902724340083434,0.23902724340083434
19984,6780,0.23902724340083434,0.23902724340083434
8518,63899,0.2532086764580542,0.2532086764580542
63899,8518,0.2532086764580542,0.2532086764580542
7039,16670,0.25495259945900894,0.25495259945900894
16670,7039,0.25495259945900894,0.25495259945900894
7955,6957,0.25524529185546097,0.25524529185546097
18825,94684,0.26122107003762146,0.26122107003762146
41547,V247,0.26792215302571515,0.26792215302571515
8268,14682,0.26954365837126515,0.26954365837126515
14682,8268,0.26954365837126515,0.26954365837126515
18307,9622,0.27521980539000573,0.27521980539000573
7417,9484,0.281341887694703,0.281341887694703
8705,37610,0.28464338976143627,0.28464338976143627
37610,8705,0.28464338976143627,0.28464338976143627
16796,21036,0.2865849918878715,0.2865849918878715
21036,16796,0.2865849918878715,0.2865849918878715
8479,8586,0.287463484140957,0.287463484140957
8586,8479,0.287463484140957,0.287463484140957
7004,45439,0.287558653076062,0.287558653076062
45439,7004,0.287558653076062,0.287558653076062
9635,18822,0.2883163038806711,0.2883163038806711
18822,9635,0.2883163038806711,0.2883163038806711
16616,21031,0.2900249100670404,0.2900249100670404
21031,16616,0.2900249100670404,0.2900249100670404
17859,39429,0.29319342810322285,0.29319342810322285
15207,16645,0.2932875274276597,0.2932875274276597
16645,15207,0.2932875274276597,0.2932875274276597
6781,8258,0.29583664565598566,0.29583664565598566
6788,8887,0.29785164629328653,0.29785164629328653
8887,6788,0.29785164629328653,0.29785164629328653
130775,8479,0.29856781056855886,0.29856781056855886
7010,18869,0.30083261955100205,0.30083261955100205
18869,7010,0.30083261955100205,0.30083261955100205
7042,9012,0.3010280545541204,0.3010280545541204
9012,7042,0.3010280545541204,0.3010280545541204
6765,9537,0.3093894971926186,0.3093894971926186
9537,6765,0.3093894971926186,0.3093894971926186
7768,45081,0.3100585823349041,0.3100585823349041
45081,7768,0.3100585823349041,0.3100585823349041
6783,8101,0.31724107822294706,0.31724107822294706
7158,V262,0.32457795772232795,0.32457795772232795
19966,39783,0.32460346705514265,0.32460346705514265
42769,82460,0.3246050257968644,0.3246050257968644
9146,100155,0.32483855136353845,0.32483855136353845
15666,21032,0.3275676489074757,0.3275676489074757
21032,15666,0.3275676489074757,0.3275676489074757
15731,19989,0.330059846237135,0.330059846237135
19989,15731,0.330059846237135,0.330059846237135
6792,6806,0.33232556920930517,0.33232556920930517
6806,6792,0.33232556920930517,0.33232556920930517
35251,15666,0.3416019912530519,0.3416019912530519
16649,6765,0.34193622347498787,0.34193622347498787
15234,16670,0.3480663071098312,0.3480663071098312
19985,21006,0.35504022093368853,0.35504022093368853
21006,19985,0.35504022093368853,0.35504022093368853
8539,21006,0.3621552581454864,0.3621552581454864
18429,9537,0.36908565325224213,0.36908565325224213
6935,6938,0.3711469556040981,0.3711469556040981
6938,6935,0.3711469556040981,0.3711469556040981
15692,18820,0.3735827758060011,0.3735827758060011
18820,15692,0.3735827758060011,0.3735827758060011
7177,9080,0.3762792500168106,0.3762792500168106
19986,19988,0.38053955447239934,0.38053955447239934
7109,18824,0.38744464513275534,0.38744464513275534
6764,19962,0.3900361566449947,0.3900361566449947
8009,19962,0.3900361566449947,0.3900361566449947
17870,42769,0.3934329000866316,0.3934329000866316
18440,92272,0.399130643638001,0.399130643638001
6743,8332,0.39924777685564744,0.39924777685564744
8332,6743,0.39924777685564744,0.39924777685564744
6873,40353,0.4009176168929526,0.4009176168929526
82903,V263,0.40165471610390113,0.40165471610390113
6996,35251,0.4029765633919513,0.4029765633919513
9488,21558,0.40332400747719216,0.40332400747719216
6750,V262,0.41195497280840365,0.41195497280840365
14632,85107,0.41251166704699416,0.41251166704699416
85107,14632,0.41251166704699416,0.41251166704699416
9527,39783,0.4125134419570294,0.4125134419570294
15730,18639,0.4251548104749166,0.4251548104749166
18639,15730,0.4251548104749166,0.4251548104749166
9507,9573,0.4300284624255239,0.4300284624255239
14742,21054,0.43061536982957693,0.43061536982957693
21054,14742,0.43061536982957693,0.43061536982957693
19956,7170,0.4464507291479885,0.4464507291479885
16694,89061,0.4497859187431559,0.4497859187431559
21030,19986,0.4498803459308715,0.4498803459308715
6818,9507,0.45530367430149893,0.45530367430149893
7135,8518,0.45605236007915007,0.45605236007915007
9473,16602,0.46321400279254055,0.46321400279254055
16602,9473,0.46321400279254055,0.46321400279254055
18831,6938,0.46985065245301505,0.46985065245301505
6821,7130,0.47292576943510434,0.47292576943510434
7130,6821,0.47292576943510434,0.47292576943510434
106767,14665,0.4749521862996945,0.4749521862996945
17953,18639,0.4775850989418488,0.4775850989418488
9247,40353,0.4828678550622863,0.4828678550622863
7128,21558,0.49374120633967766,0.49374120633967766
18881,19957,0.4975489972122353,0.4975489972122353
7124,15730,0.4984825272131979,0.4984825272131979
9526,21006,0.499458750823493,0.499458750823493
9113,9012,0.5046413431986,0.5046413431986
17867,17947,0.5088596031942977,0.5088596031942977
