"","codigo_de_osinergmin","razon_social","direccion","distrito","orden_original","bandera","glp","gnv","llanteria","islas_comb_liq","mecanico","aceite","lavado","tienda","cajero","lat","lon","tipo","tipo_bandera","con_glp","con_gnv","grifo_mas_cercano","distancia_min","distancia_avg","num_grifos_cerc","vecino_pecsa_dist","num_vecinos_pecsa","sc_pre","sc_post","tiene_mecanico","producto","fecha","mes","año","precio_de_venta","pop_2017","densidad_2017","ingresos_2012","sc","COMPRADA","vecino_pecsa_thiessen"
"11",34770,"REPSOL COMERCIAL S.A.C.","ESQ. AV. LOS INGENIEROS Y AV. SEPARADORA INDUSTRIAL N° 2503, MZ. E LOTE 14-2, URB. STA. RAQUEL 2DA. ETAPA","ATE",2,"REPSOL",3,4,1,4,0,0,0,1,1,-12.059816,-76.951354,"PROPIA","PROPIA REPSOL",1,1,21007,0.726603365131802,1.09297073443536,10,0,0,0.166666666666667,0.166666666666667,0,"DIESEL",2017-12-01,12,2017,11.02,661786,8515,922.61,0.166666666666667,0,0
"12",34770,"REPSOL COMERCIAL S.A.C.","ESQ. AV. LOS INGENIEROS Y AV. SEPARADORA INDUSTRIAL N° 2503, MZ. E LOTE 14-2, URB. STA. RAQUEL 2DA. ETAPA","ATE",2,"REPSOL",3,4,1,4,0,0,0,1,1,-12.059816,-76.951354,"PROPIA","PROPIA REPSOL",1,1,21007,0.726603365131802,1.09297073443536,10,0,0,0.166666666666667,0.166666666666667,0,"DIESEL",2018-01-01,1,2018,11.29,661786,8515,922.61,0.166666666666667,0,0
"13",34770,"REPSOL COMERCIAL S.A.C.","ESQ. AV. LOS INGENIEROS Y AV. SEPARADORA INDUSTRIAL N° 2503, MZ. E LOTE 14-2, URB. STA. RAQUEL 2DA. ETAPA","ATE",2,"REPSOL",3,4,1,4,0,0,0,1,1,-12.059816,-76.951354,"PROPIA","PROPIA REPSOL",1,1,21007,0.726603365131802,1.09297073443536,10,0,0,0.166666666666667,0.166666666666667,0,"DIESEL",2018-02-01,2,2018,11.29,661786,8515,922.61,0.166666666666667,0,0
"14",34770,"REPSOL COMERCIAL S.A.C.","ESQ. AV. LOS INGENIEROS Y AV. SEPARADORA INDUSTRIAL N° 2503, MZ. E LOTE 14-2, URB. STA. RAQUEL 2DA. ETAPA","ATE",2,"REPSOL",3,4,1,4,0,0,0,1,1,-12.059816,-76.951354,"PROPIA","PROPIA REPSOL",1,1,21007,0.726603365131802,1.09297073443536,10,0,0,0.166666666666667,0.166666666666667,0,"DIESEL",2018-03-01,3,2018,11.2928571428571,661786,8515,922.61,0.166666666666667,0,0
"15",34770,"REPSOL COMERCIAL S.A.C.","ESQ. AV. LOS INGENIEROS Y AV. SEPARADORA INDUSTRIAL N° 2503, MZ. E LOTE 14-2, URB. STA. RAQUEL 2DA. ETAPA","ATE",2,"REPSOL",3,4,1,4,0,0,0,1,1,-12.059816,-76.951354,"PROPIA","PROPIA REPSOL",1,1,21007,0.726603365131802,1.09297073443536,10,0,0,0.166666666666667,0.166666666666667,0,"DIESEL",2018-04-01,4,2018,11.3375,661786,8515,922.61,0.166666666666667,0,0
"16",34770,"REPSOL COMERCIAL S.A.C.","ESQ. AV. LOS INGENIEROS Y AV. SEPARADORA INDUSTRIAL N° 2503, MZ. E LOTE 14-2, URB. STA. RAQUEL 2DA. ETAPA","ATE",2,"REPSOL",3,4,1,4,0,0,0,1,1,-12.059816,-76.951354,"PROPIA","PROPIA REPSOL",1,1,21007,0.726603365131802,1.09297073443536,10,0,0,0.166666666666667,0.166666666666667,0,"DIESEL",2018-05-01,5,2018,11.99,661786,8515,922.61,0.166666666666667,0,0
"17",34770,"REPSOL COMERCIAL S.A.C.","ESQ. AV. LOS INGENIEROS Y AV. SEPARADORA INDUSTRIAL N° 2503, MZ. E LOTE 14-2, URB. STA. RAQUEL 2DA. ETAPA","ATE",2,"REPSOL",3,4,1,4,0,0,0,1,1,-12.059816,-76.951354,"PROPIA","PROPIA REPSOL",1,1,21007,0.726603365131802,1.09297073443536,10,0,0,0.166666666666667,0.166666666666667,0,"DIESEL",2018-06-01,6,2018,12.055,661786,8515,922.61,0.166666666666667,0,0
"18",34770,"REPSOL COMERCIAL S.A.C.","ESQ. AV. LOS INGENIEROS Y AV. SEPARADORA INDUSTRIAL N° 2503, MZ. E LOTE 14-2, URB. STA. RAQUEL 2DA. ETAPA","ATE",2,"REPSOL",3,4,1,4,0,0,0,1,1,-12.059816,-76.951354,"PROPIA","PROPIA REPSOL",1,1,21007,0.726603365131802,1.09297073443536,10,0,0,0.166666666666667,0.166666666666667,0,"DIESEL",2018-07-01,7,2018,12.25,661786,8515,922.61,0.166666666666667,0,0
"19",34770,"REPSOL COMERCIAL S.A.C.","ESQ. AV. LOS INGENIEROS Y AV. SEPARADORA INDUSTRIAL N° 2503, MZ. E LOTE 14-2, URB. STA. RAQUEL 2DA. ETAPA","ATE",2,"REPSOL",3,4,1,4,0,0,0,1,1,-12.059816,-76.951354,"PROPIA","PROPIA REPSOL",1,1,21007,0.726603365131802,1.09297073443536,10,0,0,0.166666666666667,0.166666666666667,0,"DIESEL",2018-08-01,8,2018,12.25,661786,8515,922.61,0.166666666666667,0,0
"20",34770,"REPSOL COMERCIAL S.A.C.","ESQ. AV. LOS INGENIEROS Y AV. SEPARADORA INDUSTRIAL N° 2503, MZ. E LOTE 14-2, URB. STA. RAQUEL 2DA. ETAPA","ATE",2,"REPSOL",3,4,1,4,0,0,0,1,1,-12.059816,-76.951354,"PROPIA","PROPIA REPSOL",1,1,21007,0.726603365131802,1.09297073443536,10,0,0,0.166666666666667,0.166666666666667,0,"DIESEL",2018-09-01,9,2018,12.29,661786,8515,922.61,0.166666666666667,0,0
