codigo_de_osinergmin,grifo_distancia,distancia,distancia_min,comentario
6754,106767,0.584918412,0.584918412,
7096,7800,0.587352481,0.587352481,
7800,7096,0.587352481,0.587352481,
21665,7128,0.609970399,0.609970399,
15215,21665,0.628313339,0.628313339,
6785,7109,0.633776516,0.633776516,
7276,18881,0.691367227,0.691367227,
9021,19955,0.6969209,0.6969209,
19955,9021,0.6969209,0.6969209,
14754,7124,0.715569201,0.715569201,
9355,16619,0.718617574,0.718617574,
16619,9355,0.718617574,0.718617574,
8153,43627,0.734605569,0.734605569,
7310,16622,0.744125976,0.744125976,
16643,21055,0.748743577,0.748743577,
21055,16643,0.748743577,0.748743577,
19952,9021,0.760454725,0.760454725,
18818,16645,0.787287439,0.787287439,
9477,18828,0.812731937,0.812731937,
18828,9477,0.812731937,0.812731937,
7161,87554,0.821930383,0.821930383,
9584,15207,0.842626549,0.842626549,
14632,21036,0.872272725,0.872272725,
96646,18828,0.917624261,0.917624261,
14646,9113,0.945400904,0.945400904,
18819,6751,0.99768605,0.99768605,
18878,18550,1.034069602,1.034069602,
18871,18818,1.802410089,1.802410089,
34770,7161,4.502257327,4.502257327,
