codificador,codigo_de_osinergmin,razon_social,ruc,direccion,distrito,n,bandera,glp,gnv,llanteria,islas_comb_liq,mecanico,aceite,lavado,tienda,cajero,en_avenida_principal,coordenadas,revisar
DUC,14754,KEMALU S.A.C.,20265988777,AV. ANGAMOS ESTE 2398 URB. LA CALERA DE LA MERCED,SURQUILLO,1105,Primax,0,0,1,6,0,1,0,1,0,1,"-12.112282, -77.005786",
,42387,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,"CARRETERA CENTRAL KM. 16 (AV. NICOLAS AYLLON S/N, MZ. A, LOTE 1, PROGRAMA DE VIVIENDA LAS PRADERAS)",ATE,1807,,,,,,,,,,,,,
,7474,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,"ZONA MÁRTIR OLAYA MZ. ""D"" LOTE  5 (ANTES: CARRETERA PANAMERICANA SUR KM. 43)",PUNTA HERMOSA,1806,,,,,,,,,,,,,
,16806,EMPRESA DE TRANSPORTES E IMPORTACIONES Y SERVICIOS  S.A.,20111641022,"AV UNIVERSITARIA ESQ. CARLOS IZAGUIRRE, MZ. A LOTES 1 2 3 Y 4 ASOCIACION DE VIVIENDA SAN JUAN DE DIOS",LOS OLIVOS,1804,,,,,,,,,,,,,
,8196,REPSOL COMERCIAL S.A.C.,20503840121,AV. PUENTE PIEDRA N° 1365,PUENTE PIEDRA,1801,,,,,,,,,,,,,
VM,9146,REPSOL COMERCIAL S.A.C,20503840121,AV. CANADA Nº 965 URBANIZACION SANTA CATALINA,LA VICTORIA,1799,Repsol,0,0,0,8,0,1,0,1,0,1,"-12.082130, -77.016471",
DUC,7054,J.W.OLIVER S.A.C.,20550314950,AV. ALFREDO BENAVIDES CUADRA 21,MIRAFLORES,934,Primax,2,6,1,8,1,0,0,1,1,1,"-12.126073, -77.018569",
MC,7109,COESTI S.A.,20127765279,"AV. TINGO MARIA N° 1172-1194, ESQ. CON RAUL PORRAS BARRENECHEA",LIMA,1790,Primax,2,6,0,2,0,1,0,1,1,si,"-12.059432, -77.058738",esquina con Gral Orbegoso
,7181,GRIFOS ESPINOZA S.A.,20100111838,"AV. LA MOLINA ESTE N° 1595, URB. EL SOL DE LA MOLINA",LA MOLINA,1785,,,,,,,,,,,,,
DU,9622,REPSOL COMERCIAL S.A.C.,20503840121,AV. PASEO PARODI 220,SAN ISIDRO,1785,Repsol,0,0,0,6,0,1,1,1,1,,"-12.091323, -77.030291",
,17906,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,"AV. PROCERES DE LA INDEPENDENCIA N° 3299, ESQ. CON AV. EL BOSQUE, URB. CANTO GRANDE, MZ. B - LT. 06",SAN JUAN DE LURIGANCHO,1778,,,,,,,,,,,,,
VM,8101,REPSOL COMERCIAL S.A.C.,20503840121,AV. JAVIER PRADO ESTE Nº 1099 INTER. CON LA AV. NICOLAS ARRIOLA,LA VICTORIA,1775,Repsol,0,0,0,8,0,0,0,1,1,1,"-12.089763, -77.017714",
DU,9355,REPSOL COMERCIAL S.A.C.,20503840121,AV. GENERAL  PEZET N° 1301,SAN ISIDRO,1775,Repsol,0,0,1,8,0,0,0,1,1,,"-12.103456, -77.051632",
DU,21006,PETROCENTRO YULIA S.A.C.,20508196475,"AV. LA MARINA Nº 2789 ESQUINA CON AV. RAFAEL ESCARDO, URB MARANGA",SAN MIGUEL,1774,Repsol,2,8,1,6,0,0,0,1,0,,"-12.077810, -77.093210",
,35025,REPRESENTACIONES CASASI  S.A.,20168494301,ESQUINA AV. EL POLO Y AV. RAUL FERRERO (CLUB GOLF LOS INCAS N° 493  MZ. C  LT. 13),SANTIAGO DE SURCO,1771,,,,,,,,,,,,,
DU,62240,ADMINISTRADORA DE SERVICIOS Y ASOCIADOS S.A.C.,20515657119,AV. ARICA N° 1301,BREÑA,109,Assa,6,4,0,2,0,0,0,1,0,,"-12.056514, -77.054081",
DU,18883,REPSOL COMERCIAL S.A.C,20503840121,"AV. BOLIVAR N° 330, ESQ. AV. DEL RIO",PUEBLO LIBRE,1762,Repsol,0,0,1,6,0,1,0,1,1,,"-12.073267, -77.055798",
DUC,7130,REPSOL COMERCIAL S.A.C.,20503840121,AV. AREQUIPA N°. 4305,MIRAFLORES,1882,Repsol,0,0,1,4,1,1,1,1,1,1,"-12.108901, -77.030428",
MC,37610,REPSOL COMERCIAL S.A.C.,20503840121,AV. COLONIAL N° 1817 - 1821,LIMA,1747,,,,,,,,,,,,,
,16756,ESTACION DE SERVICIOS GRIFO MASTER S.R.L.,20371826727,"AV. ALFREDO MENDIOLA ESQUINA CON CALLE 12, MANZANA E LOTES 05 AL 13 Y 16 AL 23 - ASOCIACION DE VIVIENDA RIO SANTA",LOS OLIVOS,1744,,,,,,,,,,,,,
,8268,INVERSIONES Y COMERCIALIZACION MAKA S.A.,20160404796,"AV. LOS FRUTALES N° 994, ESQUINA ARCOS DE LA FRONTERA",LA MOLINA,1743,,,,,,,,,,,,,
,16766,COESTI S.A.,20127765279,AV.  DEL EJERCITO N° 110 - 112 ESQUINA CON AV. BRASIL,MAGDALENA DEL MAR,1740,,,,,,,,,,,,,
DU,94684,DUOGAS S.A.,20538108295,AV. ARICA N° 580 - 590 ESQ. CON JR. JORGE CHAVEZ,BREÑA,396,Pecsa,2,6,0,2,0,0,0,1,1,,"-12.058490, -77.046444",
,17867,REPSOL COMERCIAL S.A.C.,20503840121,AV. ARGENTINA Nº 3003 - 3005,LIMA,1720,,,,,,,,,,,,,
,6906,ESTACION DE SERVICIOS ESTEL S.A.C.,20425803680,"AV. UNIVERSITARIA NORTE Nº 5771 - 5779, URB. SANTA ISOLINA",COMAS,1720,,,,,,,,,,,,,
,18555,REPSOL COMERCIAL S.A.C.,20503840121,"AV. SEPARADORA INDUSTRIAL N° 3085, MZ. N, LOTES 7 AL 17, URB. MAYORAZGO",ATE,1708,,,,,,,,,,,,,
DU,18567,REPSOL COMERCIAL S.A.C.,20503840121,JOSE GALVEZ BARRENECHEA Nº 520,SAN ISIDRO,1708,Repsol,0,2,1,10,1,1,1,1,1,,"-12.092135, -77.013459",Sí
DU,7135,DERK S.A.C.,20428543875,AV. DEL RIO Nº 110,PUEBLO LIBRE,1323,Primax,2,6,1,6,0,1,1,1,1,,"-12.066940, -77.054534",
DU,19966,GRIFO SAN IGNACIO S.A.C.,20100075858,"AV. LA MARINA N° 325, ESQ. JR. TORRE TAGLE",PUEBLO LIBRE,829,Primax,0,0,1,6,0,1,1,1,0,,"-12.081648, -77.070762",
,7188,ESTACION DE SERVICIO CORAZON  DE JESUS S.A.C.,20499591927,AV. PROCERES DE LA INDEPENDENCIA N° 197-199,SAN JUAN DE LURIGANCHO,1699,,,,,,,,,,,,,
,17865,VILMA ROSA MELENDEZ PELAEZ,10070702075,"AV. EL RETABLO ESQUINA CON CALLE 6, MZ. C, LOTE 1, URB. EL RETABLO",COMAS,1698,,,,,,,,,,,,,
DUC,7441,GRIFO LA PAZ - JORGE SILVA SANTISTEBAN Y HNOS S.R.L.,20108803194,AV. LA PAZ CDRA. 11,MIRAFLORES,149,,,,,,,,,,,,,F/S
DUC,8009,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,AV. PASEO DE LA REPUBLICA N° 5790-5798,MIRAFLORES,1993,Pecsa,2,0,0,4,0,0,0,1,1,1,"-12.123387, -77.024816",
DUC,9584,INMOBILIARIA SOL INVEST PERU S.A.,20509496219,AVIACION Nº 3401,SAN BORJA,743,Repsol,0,0,0,4,0,0,0,1,0,1,"-12.105377, -77.000802",
,7758,COESTI S.A.,20127765279,AV. PROCERES DE LA INDEPENDENCIA N° 2773-2785-2799 ESQUINA CON AV. EL SOL N° 388 - URB. SAN CARLOS,SAN JUAN DE LURIGANCHO,1657,,,,,,,,,,,,,
,14665,INVERSIONES MAVU S.A.C.,20536616960,AV. VENEZUELA N° 3300,LIMA,1633,,,,,,,,,,,,,
DU,16649,ESTACIONES DE SERVICIO GASOLINAS DE AMERICA S.A.C.,20536053621,AV. PETIT THOUARS Nº 3305 - 3307,SAN ISIDRO,1629,Petro America,2,0,1,4,0,1,1,0,0,,"-12.095718, -77.031491",
DUC,8247,ASESORIA COMERCIAL S.A.,20100094569,AV. EL EJERCITO N° 412-422,MIRAFLORES,1692,Primax,2,0,1,8,1,1,1,1,1,1,"-12.116390, -77.044831",
,14715,MIDAS GAS S.A.,20304887762,AV. NICOLAS ARRIOLA N° 3191,SAN LUIS,1622,,,,,,,,,,,,,
,6746,CORPORACION VISTA ALEGRE S.A.C.,20492574067,AV. NICOLAS AYLLON 4706 (LOTE A - FUNDO VISTA ALEGRE),ATE,1620,,,,,,,,,,,,,
,8590,REPSOL COMERCIAL S.A.C.,20503840121,NICOLAS AYLLON Nº 2274,CHACLACAYO,1606,,,,,,,,,,,,,
,85107,INVERSIONES GASSURCO S.A.C,20519251656,"AV. GUARDIA CIVIL SUR ESQUINA CON CALLE DOÑA MERCEDES, MZ B LOTES 1,2 Y 3",SANTIAGO DE SURCO,1602,,,,,,,,,,,,,
,41487,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,"INTERSECCION DE LA AV. UNIVERSITARIA Y AV. ANGELICA GAMARRA (LT. 01-B), URB. SANTO TOMAS DE GARAGAY",SAN MARTIN DE PORRES,1588,,,,,,,,,,,,,
,8082,ESTACION LOS JARDINES E.I.R.L.,20220015743,AV. PROCERES DE LA INDEPENDENCIA N° 1015 (MZ. G LOTES 11 AL 19),SAN JUAN DE LURIGANCHO,1588,,,,,,,,,,,,,
,8065,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,"AV. MATEO PUMACAHUA S/N. MZ. D, LOTE 1",VILLA EL SALVADOR,1586,,,,,,,,,,,,,
,16642,REPSOL COMERCIAL S.A.C.,20503840121,AV. ALFREDO MENDIOLA N° 2000,INDEPENDENCIA,1582,,,,,,,,,,,,,
DUC,14691,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,AV. JOSE GALVEZ BARRENECHEA ESQ. CON LA CALLE 32,SAN BORJA,1916,Repsol,0,0,1,6,0,0,0,1,1,0,"-12.107437, -77.010721",
,16600,REPSOL COMERCIAL S.A.C.,20503840121,"AV. UNIVERSITARIA  SUR  N° 546, CON  FRENTE  CALLE  MATERIALES  N° 156",LIMA,1574,,,,,,,,,,,,,
,16586,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,AV. FRANCISCO PIZARRO N°1207,RIMAC,1572,,,,,,,,,,,,,
,7026,GRIFO CRISTO SALVADOR S.A.C.,20510953755,"AV. LOS HEROES N° 1366 -1372, URB. JARDIN",SAN JUAN DE MIRAFLORES,1570,,,,,,,,,,,,,
VM,7004,INVERSIONES OCTANO S.A.,20111443221,JR. LUNA PIZARRO N° 696,LA VICTORIA,1568,Repsol-Gazel,0,4,1,4,0,0,0,1,0,0,"-12.066877, -77.027397",
,19945,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,AV. OSCAR R. BENAVIDES N° 1380,LIMA,1564,,,,,,,,,,,,,
,9247,COESTI S.A.,20127765279,AV. CAMINOS DEL INCA N° 2017 ESQ. CON LA AV. BENAVIDES,SANTIAGO DE SURCO,1540,,,,,,,,,,,,,
,18574,SERVICENTRO JULIA S.A.C.,20507909168,AV. JAVIER PRADO OESTE Nº 900-944-950-956. ESQUINA CON AV. JUAN DE ALIAGA,MAGDALENA DEL MAR,1537,,,,,,,,,,,,,
DUC,9488,ESTACION PACHACUTEC S.A.C.,20507458999,"AV. BOLOGNESI CUADRA 8, ESQ. CON CALLE TIRAVANTI",BARRANCO,279,Primax,0,0,0,4,0,0,0,1,1,0,"-12.142775, -77.017965",
,9462,COESTI S.A.,20127765279,AV. NICOLAS AYLLÓN N° 2162,ATE,1534,,,,,,,,,,,,,
,44703,ESTACION DE SERVICIOS LA PUNTA E.I.R.L.,20512026517,"JR. LA PUNTA  MZ. 3-T  LOTE 23, ESQ. CON AV. LA MOLINA, URB. EL SOL DE LA MOLINA",LA MOLINA,1519,,,,,,,,,,,,,
,19983,REPSOL COMERCIAL S.A.C.,20503840121,AV. TUPAC AMARU N° 1453,SAN MARTIN DE PORRES,1499,,,,,,,,,,,,,
VM,100155,COESTI S.A.,20127765279,"AV. NICOLAS ARRIOLA N° 710, URB. SANTA CATALINA",LA VICTORIA,1491,Primax,2,6,1,6,0,1,0,1,1,1,"-12.083214, -77.013698",
,9630,DELTA COMBUSTIBLES E.I.R.L.,20524016070,AV. ALFREDO MENDIOLA N° 700 ¿ 704,SAN MARTIN DE PORRES,1475,,,,,,,,,,,,,
,19949,GASOCENTRO NORTE S.A.C.,20508607106,AV. GERARDO UNGER N° 3301 ESQ. CON JR. RUFINO MACEDO,INDEPENDENCIA,1474,,,,,,,,,,,,,
DUC,9473,REPSOL COMERCIAL S.A.C.,20503840121,AV. AREQUIPA 5080  ESQ. CON ENRIQUE PALACIOS,MIRAFLORES,1799,Repsol,0,0,1,6,0,1,1,1,1,1,"-12.116757, -77.029541",
,16774,INVERSIONES PICORP S.A.C.,20428254687,"AV. JOSE GRANDA N° 3210,  URB. EL ESTABLO",SAN MARTIN DE PORRES,1455,,,,,,,,,,,,,
,16608,CLARIGO S.A.C.,20521411172,"AV. LAS FLORES Nº 750, URB. SANTA MARIA",LURIGANCHO,1450,,,,,,,,,,,,,
,16638,REPSOL COMERCIAL S.A.C.,20503840121,"AV. 09 DE OCTUBRE Nº 508 (AV. CIRCUNVALACION KM. 6.5), PIEDRA LIZA",RIMAC,1440,,,,,,,,,,,,,
,8157,SERVICENTRO UNIVERSAL S.R.LTDA.,20202997113,AV. APURIMAC ESQ. AV. SANTIAGO DE CHUCO N° 501 - COOPERATIVA UNIVERSAL,SANTA ANITA,1439,,,,,,,,,,,,,
,82460,ENERGIGAS SAC,20506151547,"AV. REPUBLICA DE  ARGENTINA N° 1830 - 1858, ESQUINA CON AV. NICOLAS DUEÑAS",LIMA,1432,,,,,,,,,,,,,
,19969,SERVICENTRO SAN LUIS S.A.C.,20273363026,AV. PROCERES DE LA INDEPENDENCIA N° 5324,SAN JUAN DE LURIGANCHO,1429,,,,,,,,,,,,,
,7558,REPRESENTACIONES E IMPORTACIONES MIJ S.R.L.,20179620945,"AUTOPISTA RAMIRO PRIALE N° 5747 - 5749 Y SUB LOTE 53 - A, URB. ASOCIACION DE PROPIETARIOS DIGNIDAD NACIONAL, C.P.M DE SANTA MARIA DE HUACHIPA",LURIGANCHO,1413,,,,,,,,,,,,,
,7003,COESTI S.A.,20127765279,AV. PROLONGACION JAVIER PRADO ESTE N° 610 - URB. LA RIVIERA DE MONTERRICO,LA MOLINA,1406,,,,,,,,,,,,,
,43245,GRIFOS ESPINOZA S.A.,20100111838,"CARRETERA PANAMERICANA NORTE KM. 27.5, PARCELA N° 10271- TAMBO INGA",PUENTE PIEDRA,1405,,,,,,,,,,,,,
,40353,GASBRA S.A.C.,20507401881,AV. CIRCUNVALACION Nº 377. ESQ. CON PROLONGACION BENAVIDES,SANTIAGO DE SURCO,1388,,,,,,,,,,,,,
,6759,GRIFOS CAJAMARCA S.A.C.,20453498299,AV. PACHACUTEC NO. 2334,VILLA MARIA DEL TRIUNFO,1387,,,,,,,,,,,,,
,16804,SERVICENTRO LOS ROSALES S.A.,20137926742,AV PROLONGACION PASEO DE LA REPUBLICA Nº 7807,SANTIAGO DE SURCO,1378,,,,,,,,,,,,,
DU,18429,COESTI S.A.,20127765279,AV. PASEO DE LA REPUBLICA Nº 3890 CON AV. ARAMBURU,SAN ISIDRO,1378,Primax,0,0,1,6,0,1,1,1,1,,"-12.102618, -77.027705",
,7868,SERVICENTRO TRI STAR S.A.,20206776782,AV. PROCERES DE LA INDEPENDENCIA Nº 1487 URB. LOS JARDINES DE SAN JUAN,SAN JUAN DE LURIGANCHO,1368,,,,,,,,,,,,,
,8546,FORMAS METALICAS S.A.,20139543301,AV. ARGENTINA Nº 915,LIMA,1362,,,,,,,,,,,,,
VM,7417,IMPORTACIONES DIANA S.A,20118019351,AV. ISABEL LA CATOLICA N° 690 ESQUINA CON CALLE ANDAHUAYLAS,LA VICTORIA,1357,PetroPeru,2,6,,4,0,0,0,1,0,1,"-12.069944, -77.025606",
DUC,9507,REPSOL COMERCIAL S.A.C.,20503840121,"AV. ROOSEVELT N° 6471, 6475, 6479, 6481, 6483, 6485, 6489, 6491 Y AV. 28 DE JULIO N° 1541",MIRAFLORES,1825,Repsol,0,0,1,8,0,0,0,1,1,1,"-12.130090, -77.017658",
VM,19952,SERVICENTRO TITI S.A.C.,20385649194,ESQUINA DE AV. SAN LUIS CON PABLO PATRÓN  120 URB. SAN PABLO,LA VICTORIA,1336,Repsol,2,8,1,4,0,0,0,1,0,1,"-12.070859, -77.003376",
DU,9527,SERVICENTRO CAMINOS DEL INCA S.A.C,20100097312,AV. LA MARINA NO. 892,PUEBLO LIBRE,861,Primax,0,0,0,6,0,1,1,1,0,,"-12.081477, -77.070690",
DU,16694,INVERSIONES UCHIYAMA S.R.L. (OPERADOR DE C.L. Y GLP),20298736820,AV. LA MAR N° 2382 Y AV. RIVAGÜERO N° 810 URB. PANDO IV ETAPA (ANTES AV. RIVA AGUERO ESQ. CON LA MAR),SAN MIGUEL,1319,Pecsa,2,6,1,6,0,0,0,1,1,,"-12.074275, -77.083492",
,16028,REPSOL COMERCIAL S.A.C.,20503840121,AV. SAMUEL ALCAZAR N° 801,RIMAC,1309,,,,,,,,,,,,,
,18822,REPSOL COMERCIAL S.A.C.,20503840121,AV. REPUBLICA DE ARGENTINA N° 2501 ¿ 2505 CON JR. LEONARDO ARRIETA N° 760 - 786,LIMA,1306,,,,,,,,,,,,,
,6824,REPSOL COMERCIAL S.A.C.,20503840121,AV. LA MOLINA N° 448,ATE,1302,,,,,,,,,,,,,
,19981,ESTACION SANTA RITA S.A.C.,20512308253,INTERSECCION DE LA AUTOPISTA CANTA CALLAO Y LA AV. CARLOS IZAGUIRRE,SAN MARTIN DE PORRES,1301,,,,,,,,,,,,,
,38701,TRANSPORTES LAS VEGAS SA,20100181704,AV. ALFREDO MENDIOLA 6200 URB. MOLITALIA (PANAMERICANA NORTE KM. 20),LOS OLIVOS,1296,,,,,,,,,,,,,
,6903,GRIFOS ESPINOZA S.A.,20100111838,AV. LIMA N° 2205 - AA.HH. JOSE GALVEZ,PACHACAMAC,1295,,,,,,,,,,,,,
,18558,GRIFO SAN IGNACIO S.A.C.,20100075858,"AV. ALFREDO MENDIOLA S/N, ALTURA KM. 21.5 CARRETERA PANAMERICANA NORTE",SAN MARTIN DE PORRES,1291,,,,,,,,,,,,,
,19976,INVERSIONES LUISAGAS S.A.C,20491998211,"ASENTAMIENTO HUMANO HÉROES DE SAN JUAN, SECTOR 5 MZ. I LT. 24",SAN JUAN DE MIRAFLORES,1291,,,,,,,,,,,,,
,7058,INVERSIONES PICORP S.A.C.,20428254687,JR. VIRU Nº 606,RIMAC,1287,,,,,,,,,,,,,
,6801,GRUPO ARIAS S.A.C.,20505270348,AV NICOLAS AYLLON N° 1202 Y ESQ AV LAS MAGNOLIAS (CARRETERA CENTRAL KM 25),CHACLACAYO,1275,,,,,,,,,,,,,
,9583,S. RODRIGUEZ BANDA S.A.C.,20504126367,CARRETERA PANAMERICANA SUR KM 23.5,VILLA EL SALVADOR,1256,,,,,,,,,,,,,
,9659,ESTACION DE SERVICIOS HERCO S.A.C.,20348303636,"CARRETERA PANAMERICANA SUR KM. 33 PARCELA C-14 A, PREDIO LAS SALINAS",LURIN,1256,,,,,,,,,,,,,
,7073,REPSOL COMERCIAL S.A.C.,20503840121,CARRETERA PANAMERICANA NORTE KM. 28.3,PUENTE PIEDRA,1255,,,,,,,,,,,,,
DU,9087,ASESORIA COMERCIAL S.A.,20100094569,AV. SUCRE N° 1070,PUEBLO LIBRE,3128,Primax,4,8,0,4,0,1,1,1,0,,"-12.081322, -77.066619",
,20982,ESTACION DE SERVICIOS LOS OLIVOS S. A. C.,20473935407,"AV. UNIVERSITARIA CDRA. 51, ESQUINA CON CALLE A",LOS OLIVOS,1238,,,,,,,,,,,,,
,6836,ATS AMERICA S.A.C.,20512853529,AV. LIMA SUR Nº 895 - CHOSICA,LURIGANCHO,1237,,,,,,,,,,,,,
,18866,REPSOL COMERCIAL S.A.C (operador exclusivo de CL),20503840121,CARRETERA PANAMERICANA SUR KM. 17 AA.HH. LAS BRISAS,SAN JUAN DE MIRAFLORES,1233,,,,,,,,,,,,,
DU,16750,KRE S.A.,20298506581,AV. PETIT THOUARS  N° 2795,SAN ISIDRO,1232,Repsol,0,0,0,6,0,0,0,1,0,,"-12.091303, -77.032248",
,8176,ESTACION DE SERVICIOS EL PINO E.I.R.L.,20346680351,"JR. MANUEL ECHEANDIA N° 586 ESQ. CON AV. CIRCUNVALACIÓN MZ. A, LOTES 6,7 Y 8, URB. LOTIZACIÓN INDUSTRIAL EL PINO",SAN LUIS,1231,,,,,,,,,,,,,
VM,18289,GASBRA S.A.C.,20507401881,AV. PASEO DE LA REPUBLICA ESQUINA CON AV. ISABEL LA CATOLICA,LA VICTORIA,1228,Pecsa,4,8,1,4,0,0,0,0,0,1,"-12.070411, -77.031148",
DU,7042,A.B.G. S.A.C.,20100100551,AV. DOS DE MAYO  1340 - 1380,SAN ISIDRO,1228,PetroPeru,0,0,0,8,0,1,1,0,0,,"-12.092135, -77.044943",
,33179,GAZEL PERU S.A.C.,20511995028,"AV. LAS PALMERAS MZ. A1 LOTES 2-3, ESQUINA CON AV. NARANJAL, URB. PARQUE NARANJAL II ETAPA",LOS OLIVOS,1224,,,,,,,,,,,,,
DUC,14632,GRIFO SAN IGNACIO S.A.C.,20100075858,"CALLE CONSTELACIÓN AUSTRAL, MZ. D1, LOTE 10, URBANIZACIÓN PARCELACIÓN LA CAMPIÑA",CHORRILLOS,1218,Repsol,0,0,1,16,0,0,0,1,1,0,"-12.174085, -76.989161",
,21030,EMPRESA DE TRANSPORTES Y SERVICIOS ALMIRANTE MIGUEL GRAU S.A.,20140421058,"AV. COLECTORA CUADRA 4, MZ. A - 19 LT. 3",SANTA ANITA,1202,,,,,,,,,,,,,
DUC,9539,ASESORIA COMERCIAL S.A.,20100094569,AV. BENAVIDES N° 2116,MIRAFLORES,1196,Primax,0,0,1,6,0,0,0,1,1,1,"-12.127667, -77.010472",
,8225,BAC PETROL S.A.C.,20387366475,"AV. NICOLAS AYLLON N° 7174, URB. PARCELACIÓN LA ESTRELLA",ATE,1194,,,,,,,,,,,,,
DU,18879,REPSOL COMERCIAL S.A.C,20503840121,AV.CAMINO REAL N° 1298,SAN ISIDRO,1189,Repsol,0,0,1,6,0,0,0,1,1,,"-12.107085, -77.039736",
,37795,IMPORTACIONES EXPORTACIONES SAN LUIS S.A.,20117813143,AV. NICOLAS ARRIOLA N° 2140 ESQ. CON AV. SAN LUIS,SAN LUIS,1188,,,,,,,,,,,,,
,86138,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,"AV. TOMAS VALLE, ESQUINA AV. BETA, SECCION A-1, FUNDO GARAGAY BAJO, SECTOR B",LOS OLIVOS,1184,,,,,,,,,,,,,
DUC,14633,REPSOL COMERCIAL S.A.C.,20503840121,"ESQUINA AV. GUARDIA CIVIL N° 702 Y AV. EL SOL, URB. LA CAMPIÑA",CHORRILLOS,2594,Repsol,0,0,0,8,0,0,1,1,1,1,"-12.178141, -76.996189",
DUC,15215,REPSOL COMERCIAL S.A.C,20503840121,AV. 28 DE JULIO N° 904,MIRAFLORES,2875,Repsol,0,0,0,8,0,0,0,1,1,1,"-12.129460, -77.023539",
DUC,15450,SERVICENTRO SEÑOR DE LOS MILAGROS DE BARRANCO S.A.C.,20521614791,AV. PANAMERICANA SUR N° 200,BARRANCO,365,,,,,,,,,,,,,no se encuentra
VM,19955,BAC THOR S.A.C.,20536318195,"AV. NICOLAS AYLLON Nº 680, ESQ. CON AV. MEXICO",LA VICTORIA,1152,Repsol,2,4,0,4,0,1,0,1,0,1,"-12.062916, -77.002731",
,38716,FLORES & LINE S.A.C.,20511067333,"AV. SAN MARTIN KM. 18.5, ESQ. CON CALLE RICARDO PALMA, MZ. H, LOTE N° 4, ZONA F, CENTRO POBLADO TAMBO VIEJO",CIENEGUILLA,1147,,,,,,,,,,,,,
VM,9484,ENERGIGAS S.A.C.,20506151547,"AV. MANCO CAPAC N° 993, ESQUINA CON AV. ISABEL LA CATOLICA",LA VICTORIA,1127,Energigas,1,0,1,4,0,0,1,1,0,1,"-12.070018, -77.028189",
DUC,15666,BAC PETROL S.A.C.,20387366475,AV. GUARDIA CIVIL Nº 203. ESQUINA AV. LOS GORRIONES,CHORRILLOS,1999,Repsol,0,4,0,4,0,0,0,1,0,1,"-12.184444, -77.006148",
,16744,REPRESENTACIONES  SANFLOR  S.R.L.,20372554089,"AV. UNIVERSITARIA Y AV. GERARDO UNGER MZ. A, LOTES 1, 2, 47 Y SUB-LOTE 48 ¿ URB. INDUSTRIAL INFANTAS III ETAPA",LOS OLIVOS,1124,,,,,,,,,,,,,
DU,21001,KRE S.A.,20298506581,AV. GUARDIA CIVIL N° 1109 ESQ. CON AV. DEL PARQUE SUR N° 314,SAN ISIDRO,1124,Repsol,0,0,0,6,0,0,0,1,1,,"-12.103623, -77.014854",
DUC,15730,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,INTERSECCION DE LA AV. ANGAMOS N° 1401 Y LA CALLE SAN LORENZO,SURQUILLO,1812,Repsol,0,4,0,4,0,0,0,1,0,1,"-12.112506, -77.016909",
DUC,16616,COESTI S.A.,20127765279,ESQ. DE LA AV. DEFENSORES DEL MORRO N° 360 CON LA AV. ALFONSO UGARTE,CHORRILLOS,2364,Primax,4,0,0,4,0,0,0,1,1,0,"-12.168021, -77.025747",
,18571,GRUPPE AR S.A.C.,20511978794,"AV. UNIVERSITARIA N° 9957, MZ-A1, LT 4, 5, 6 Y 7 - URB. LA ALBORADA",COMAS,1110,,,,,,,,,,,,,
,7320,ESTACION DE SERVICIOS EL TRIANGULO S.A.C.,20509145424,AV. GRAN CHIMU N° 1988 URB. ZARATE,SAN JUAN DE LURIGANCHO,1107,,,,,,,,,,,,,
DUC,16617,REPSOL COMERCIAL S.A.C.,20503840121,AV. JOSE GÁLVEZ BARRENECHEA N° 1146 (ANTES AV. PRINCIPAL) ESQ. CON CALLE 32 URB. VILLA VICTORIA,SURQUILLO,1988,Repsol,0,0,1,6,0,0,0,1,1,1,"-12.107493, -77.010788",
DUC,15207,COESTI S.A.,20127765279,ESQ. DE LA AV. SAN LUIS N° 2605 CON SAN BORJA SUR,SAN BORJA,1104,Primax,0,0,1,6,0,1,0,1,0,1,"-12.100870, -76.994562",
,6767,GRIFO SAN IGNACIO S.A.C.,20100075858,CARRETERA CENTRAL KM. 20.8,CHACLACAYO,1104,,,,,,,,,,,,,
VM,6961,PEBSA COMBUSTIBLES S.A.,20557124846,AV. BAUZATE Y MEZA N°. 1387 .ESQ. JR. GARIBALDI,LA VICTORIA,1103,Bolivar,8,0,0,4,0,0,0,1,1,1,"-12.062844, -77.016961",
,7040,A.B.G. S.A.C.,20100100551,"AV. TUPAC AMARU KM.16,5",CARABAYLLO,1102,,,,,,,,,,,,,
,16639,REPSOL COMERCIAL S.A.C.,20503840121,AV. NICOLAS AYLLON N° 2970,ATE,1087,,,,,,,,,,,,,
DU,8153,ESTACIONES DE SERVICIOS CLE S.A.C,20522671534,"AV. JUAN PARDO DE ZELA N° 845 - 849, ESQ. CON PASAJE SAN ROBERTO",LINCE,1077,Repsol,0,0,0,4,0,0,0,1,0,,"-12.082378, -77.027693",
