codigo_de_osinergmin,grifo_distancia,distancia,distancia_min,razon_social,distrito,direccion,bandera,coordenadas
21036,14633,0.05163123507852899,0.05163123507852899,REPSOL COMERCIAL S.A.C.,CHORRILLOS,"AV. GUARDIA CIVIL N° 723 - 709 - 715, ESQUINA CON LA AV. EL OL N° 1297 - 1283 - 1275 - 1265, URB. LA CAMPIÑA",REPSOL,"-12.178208, -76.99609"
16622,87014,0.05702429021949265,0.05702429021949265,SERVICENTRO SANTA CECILIA S.A.C.,PUEBLO LIBRE,AV. BOLIVAR 499 ESQUINA CON JR. ISLAS HAWAI,INDEPENDIENTE,"-12.072416, -77.05778"
87014,16622,0.05702429021949265,0.05702429021949265,ABA SINGER & CIA  S.A.C.,PUEBLO LIBRE,"AV. SIMÓN BOLIVAR 496 - 498, ESQUINA JR. BELGRANO 110 - 120",INDEPENDIENTE,"-12.071923, -77.057627"
18824,19957,0.05897751055919702,0.05897751055919702,REPSOL COMERCIAL  S.A.C.,LIMA,"AV. TINGO MARIA N° 994, ESQUINA CON AV. REPUBLICA DE VENEZUELA N° 1820",REPSOL,"-12.055514, -77.058149"
19957,18824,0.05897751055919702,0.05897751055919702,EXPLORIUM S.A.C.,LIMA,AV. VENEZUELA N° 1829 INTERSECCION AV. TINGO MARIA,REPSOL,"-12.056014, -77.057961"
14691,16617,0.059875153568341236,0.059875153568341236,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,SAN BORJA,AV. JOSE GALVEZ BARRENECHEA ESQ. CON LA CALLE 32,PECSA,"-12.10746, -77.010239"
16617,14691,0.059875153568341236,0.059875153568341236,REPSOL COMERCIAL S.A.C.,SURQUILLO,AV. JOSE GÁLVEZ BARRENECHEA N° 1146 (ANTES AV. PRINCIPAL) ESQ. CON CALLE 32 URB. VILLA VICTORIA,REPSOL,"-12.107493, -77.010788"
16641,16805,0.064134924813002,0.064134924813002,REPSOL COMERCIAL S.A.C.,SANTIAGO DE SURCO,AV. TOMAS MARSANO ESQUINA CON AV. LOS PROCERES,REPSOL,"-12.148146, -76.986047"
16805,16641,0.064134924813002,0.064134924813002,COESTI S.A.,SANTIAGO DE SURCO,ESQ. AV. TOMAS MARSANO Y LOS PROCERES,PRIMAX,"-12.147928, -76.986593"
9520,21052,0.06985977414028331,0.06985977414028331,REPSOL COMERCIAL SAC,LIMA,OSCAR BENAVIDES N° 930,REPSOL,"-12.047235, -77.053539"
21052,9520,0.06985977414028331,0.06985977414028331,COESTI S.A.,LIMA,AV. MARISCAL OSCAR R. BENAVIDES Nº 871 (ANTES: AV. COLONIAL ESQ. AV. TINGO MARIA),PRIMAX,"-12.047858, -77.053644"
18666,21482,0.07396291450302933,0.07396291450302933,LUCILA GONZALES HURTADO DE PALACIOS,SAN MARTIN DE PORRES,"ESQUINA DE LA AV. CANTA CALLAO Y LOS DOMINICOS MZ. E LOTE 7, URB. LAS BRISAS DE SANTA ROSA",INDEPENDIENTE,"-11.991071, -77.106971"
21482,18666,0.07396291450302933,0.07396291450302933,MIOLENA S.A.,SAN MARTIN DE PORRES,"AV. CANTA CALLAO Y CALLE 2 - MZ. F, LT. 19 - 22, 38, 39, URB. BRISAS DE STA ROSA",PETROPERU,"-11.990598, -77.107451"
7086,18871,0.07898861511778568,0.07898861511778568,REPSOL COMERCIAL S.A.C.,SANTIAGO DE SURCO,AV. PROLONGACION PRIMAVERA Nº 1120 MZ. P LOTES 1 Y 2,REPSOL,"-12.110746, -76.979725"
18871,7086,0.07898861511778568,0.07898861511778568,REPSOL COMERCIAL S.A.C.,SAN BORJA,"AV. PRIMAVERA N° 1095, ESQUINA CON CALLE CANARIAS N° 101",REPSOL,"-12.110032, -76.979732"
8228,82460,0.08051173202056977,0.08051173202056977,COESTI S.A.,LIMA,AV. ARGENTINA N° 1801,PRIMAX,"-12.045891, -77.065444"
82460,8228,0.08051173202056977,0.08051173202056977,ENERGIGAS SAC,LIMA,"AV. REPUBLICA DE  ARGENTINA N° 1830 - 1858, ESQUINA CON AV. NICOLAS DUEÑAS",INDEPENDIENTE,"-12.045171, -77.065552"
9622,42755,0.08113174423770073,0.08113174423770073,REPSOL COMERCIAL S.A.C.,SAN ISIDRO,AV. PASEO PARODI 220,REPSOL,"-12.091323, -77.030291"
42755,9622,0.08113174423770073,0.08113174423770073,ANEGADA S.A.C.,SAN ISIDRO,AV. JAVIER PRADO ESTE  N° 311,PRIMAX,"-12.091523, -77.031008"
17868,64036,0.08523114206772532,0.08523114206772532,INVERSIONES JIARA S.A.C.,SAN LUIS,"AV. LAS TORRES N° 508, ESQUINA CON EL JR. MARISCAL ORBEGOSO, URB. EL PINO",INDEPENDIENTE,"-12.069574, -76.988763"
64036,17868,0.08523114206772532,0.08523114206772532,CORGAS S.A.C.,ATE,"AV. LAS TORRES 497, URB. LOS SAUCES",PRIMAX,"-12.070284, -76.988459"
6764,8009,0.08567845560921099,0.08567845560921099,COESTI S.A.,MIRAFLORES,AV. PASEO DE LA REPUBLICA N° 5790-5798,PRIMAX,"-12.123504, -77.024173"
8009,6764,0.08567845560921099,0.08567845560921099,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,MIRAFLORES,AV. PASEO DE LA REPUBLICA N° 5790-5798,PECSA,"-12.123463, -77.024959"
19951,132204,0.0880552147220392,0.0880552147220392,EXPLORIUM SOCIEDAD ANONIMA CERRADA - EXPLORIUM S.A.C.,LA VICTORIA,ESQ. AV. NICOLAS ARRIOLA N° 2189 Y CALLE ORENGO,REPSOL,"-12.071178, -77.00189"
132204,19951,0.0880552147220392,0.0880552147220392,REPSOL COMERCIAL S.A.C.,SAN LUIS,AV. NICOLAS ARRIOLA N° 2140 ESQUINA CON AV. SAN LUIS,REPSOL,"-12.071956, -77.002061"
19988,38667,0.09040688915522593,0.09040688915522593,INVERSIONES GARAY S.R.L.,SANTA ANITA,"AV. HUANCARAY MZ. A-6, LOTES DEL 44 AL 47, URB. LAS FLORES",PECSA,"-12.038353, -76.954706"
38667,19988,0.09040688915522593,0.09040688915522593,SERVICENTRO EL ASESOR S.A.C.,SANTA ANITA,"AV HUAROCHIRI N° 905, ESQUINA CON AV. HUANCARAY, MZ. H1, LOTES 2,3,4,5 Y 6 URB. EL ASESOR",PETROPERU,"-12.037537, -76.95466"
15206,17879,0.09253307719894562,0.09253307719894562,ESTACION DE SERVICIOS PASO DE LOS ANDES S.A.C.,JESUS MARIA,AV. BRASIL N° 699,INDEPENDIENTE,"-12.066321, -77.046151"
17879,15206,0.09253307719894562,0.09253307719894562,ESTACIONES DE SERVICIO GASOLINAS DE AMERICA SAC,JESUS MARIA,AV. GENERAL GARZON N° 688,INDEPENDIENTE,"-12.066808, -77.04546"
6880,6960,0.09552043971124732,0.09552043971124732,COESTI S.A.,SAN MARTIN DE PORRES,AV. TOMAS VALLE N° 1981. ESQ. CALLE BAQUIJANO Y CARRILLO,PRIMAX,"-12.012899, -77.085499"
6960,6880,0.09552043971124732,0.09552043971124732,EL GRIFITO S.A.,SAN MARTIN DE PORRES,AV. TOMAS VALLE N° 2053 ¿ URB. SAN PEDRO DE GARAGAY,REPSOL,"-12.012595, -77.08632"
16703,19962,0.09638395451551933,0.09638395451551933,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,MIRAFLORES,AV. PASEO DE LA REPUBLICA N° 5545 ESQUINA CON LA AV. RICARDO PALMA,PECSA,"-12.119433, -77.02522"
19962,16703,0.09638395451551933,0.09638395451551933,ABA SINGER & CIA S.A.C.,MIRAFLORES,"INTERSECCION AV. RICARDO PALMA, MARISCAL CACERES Y MARIANO ODICIO",INDEPENDIENTE,"-12.119964, -77.024518"
89213,21004,0.09651471490059281,0.09651471490059281,CORPORACIÓN VILLAVICENCIO S.A.C.,ATE,"AV. MIGUEL GRAU, SUB LOTE 28-B, URB. SANTA CLARA",REPSOL,"-12.023805, -76.893857"
8546,82834,0.09730286550087602,0.09730286550087602,FORMAS METALICAS S.A.,LIMA,AV. ARGENTINA Nº 915,PECSA,"-12.044736, -77.053803"
82834,8546,0.09730286550087602,0.09730286550087602,SIROCO HOLDINGS SAC,LIMA,AV. ARGENTINA 898,PETROPERU,"-12.044163, -77.053125"
16640,21001,0.0986221515331166,0.0986221515331166,REPSOL COMERCIAL S.A.C.,SAN ISIDRO,AV. DEL PARQUE SUR 285 ESQ. AV.  GUARDIA CIVIL,REPSOL,"-12.102734, -77.014922"
21001,16640,0.0986221515331166,0.0986221515331166,KRE S.A.,SAN ISIDRO,AV. GUARDIA CIVIL N° 1109 ESQ. CON AV. DEL PARQUE SUR N° 314,REPSOL,"-12.103623, -77.014854"
137688,7461,0.1020534481597728,0.1020534481597728,REPSOL COMERCIAL S.A.C.,LA VICTORIA,AV. BAUZATE Y MEZA N° 1050,REPSOL,"-12.0641, -77.020715"
9364,17869,0.1065188329753461,0.1065188329753461,FULL SERVICE LA MOLINA S.A.C.,LA MOLINA,AV. LA MOLINA N° 2421,PRIMAX,"-12.075145, -76.935776"
17869,9364,0.1065188329753461,0.1065188329753461,SERVICENTRO MUSA E.I.R.L.,LA MOLINA,"AV. LA MOLINA ESTE Nº 2295, ESQUINA PUNTA PEJERREY - URB.  EL SOL DE LA MOLINA",PETROPERU,"-12.075225, -76.936751"
8033,40353,0.1068147206365633,0.1068147206365633,SUR EXPORT E.I.R.L.,SANTIAGO DE SURCO,"JR. CERRO AZUL N° 227-233-237, URB. SAN IGNACIO DE MONTERRICO",PRIMAX,"-12.131828, -76.976952"
40353,8033,0.1068147206365633,0.1068147206365633,GASBRA S.A.C.,SANTIAGO DE SURCO,AV. CIRCUNVALACION Nº 377. ESQ. CON PROLONGACION BENAVIDES,PECSA,"-12.130982, -76.977425"
9518,19953,0.10713712867434397,0.10713712867434397,COESTI S.A.,LA VICTORIA,AV. 28 DE JULIO N° 2200,PRIMAX,"-12.061821, -77.018832"
19953,9518,0.10713712867434397,0.10713712867434397,GAZEL PERU S.A.C,LA VICTORIA,"AV. 28 DE JULIO N° 2315, ESQ. CON JR. PARINACOCHAS",REPSOL,"-12.061551, -77.017887"
18687,19962,0.10832631160139461,0.10832631160139461,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,MIRAFLORES,AV. ANDRES AVELINO CACERES N° 120 ESQ. CON AV. RICARDO PALMA,PECSA,"-12.119947, -77.023523"
13930,35059,0.10961594771704943,0.10961594771704943,COESTI S.A.,SANTIAGO DE SURCO,"AV. ANGAMOS ESTE N° 1159 (ANTES: AV. PRIMAVERA N° 1159), URB. VALLE HERMOSO DE MONTERRICO",PRIMAX,"-12.109859, -76.977316"
35059,13930,0.10961594771704943,0.10961594771704943,REPSOL COMERCIAL S.A.C.,SANTIAGO DE SURCO,AV. PRIMAVERA N° 1204 - 1212 ESQ. CON CALLE JERONIMO DE ALIAGA,REPSOL,"-12.110315, -76.976422"
16644,19958,0.10973002453040008,0.10973002453040008,GRIFOS ESPINOZA S.A.,LIMA,"AV. AREQUIPA  Nº 908, ESQUINA CON JR. EMILIO FERNANDEZ - URB. SANTA BEATRIZ",PRIMAX,"-12.073633, -77.036127"
19958,16644,0.10973002453040008,0.10973002453040008,GRIFO SAN IGNACIO S.A.C.,LIMA,AV. ARENALES N° 881. ESQ. EMILIO FERNANDEZ,REPSOL,"-12.073437, -77.037115"
17944,94684,0.11126728577002773,0.11126728577002773,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,BREÑA,"AV. ARICA 481, ESQUINA CON JR. GENERAL VARELA Y JR. REBECA OQUENDO",PECSA,"-12.059134, -77.045659"
94684,17944,0.11126728577002773,0.11126728577002773,DUOGAS S.A.,BREÑA,AV. ARICA N° 580 - 590 ESQ. CON JR. JORGE CHAVEZ,PECSA,"-12.05849, -77.046444"
21202,93384,0.11767395124689889,0.11767395124689889,AMADA RAQUEL SOTELO RUEDA,VILLA EL SALVADOR,"ESQ. AV. EL SOL CON AV. PASTOR SEVILLA, SECTOR 2, GRUPO 21-A, MZ. ZC, LT. C",INDEPENDIENTE,"-12.205859, -76.952294"
93384,21202,0.11767395124689889,0.11767395124689889,ESTACION SAN DIEGO SAC,VILLA EL SALVADOR,"AV. EL SOL MZ. J-1, LT. 04, URB. LAS VERTIENTES",PRIMAX,"-12.204965, -76.95288"
7309,8054,0.11791253085851743,0.11791253085851743,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,SAN MARTIN DE PORRES,AV. UNIVERSITARIA ESQ. AV. ANTUNEZ DE MAYOLO MZ. B LT. 1 Y 2,PECSA,"-11.995854, -77.084998"
8054,7309,0.11791253085851743,0.11791253085851743,PETROCENTRO UNIVERSITARIO S.A.C.,LOS OLIVOS,"AV. UNIVERSITARIA NORTE MZ. C LOTE 1, URB RESIDENCIAL COMERCIAL LOS OLIVOS",INDEPENDIENTE,"-11.995794, -77.083917"
16775,85698,0.12337911942779725,0.12337911942779725,REPSOL COMERCIAL S.A.C.,ATE,AV. NICOLAS AYLLON Nº 1912,REPSOL,"-12.064209, -76.986707"
85698,16775,0.12337911942779725,0.12337911942779725,TERPEL PERU S.A.C.,ATE,AV. NICOLAS AYLLON N° 2039,INDEPENDIENTE,"-12.063649, -76.987687"
14665,16143,0.12412872581505534,0.12412872581505534,INVERSIONES MAVU S.A.C.,LIMA,AV. VENEZUELA N° 3300,INDEPENDIENTE,"-12.059666, -77.078179"
16143,14665,0.12412872581505534,0.12412872581505534,SERVICENTRO ALASPE S.A - COOP DE SERV ESP ALAS PERUANAS,LIMA,"ESQ. DE  LA  AV. VENEZUELA Nº 3343 CON JR.  ARISTIDES DEL CARPIO, URB. INDUSTRIAL PALOMINO",INDEPENDIENTE,"-12.060069, -77.077115"
43627,92272,0.12621743173319164,0.12621743173319164,GRIFOS SOYUZ S.A.,LA VICTORIA,AV. MEXICO N° 333,INDEPENDIENTE,"-12.075795, -77.026806"
92272,43627,0.12621743173319164,0.12621743173319164,JUAN CARLOS PORTUGAL DE LA TORRE,LA VICTORIA,"AV. MEXICO N° 380-390, ESQUINA CON JR. LOS JACINTOS",INDEPENDIENTE,"-12.075923, -77.025654"
21003,33678,0.1275035691926198,0.1275035691926198,PETRO EXPLORIUM S.A.C.,VILLA EL SALVADOR,AV. MARIA REICHE S/N. CON SEPARADORA INDUSTRIAL - URB. PACHACAMAC,PRIMAX,"-12.245972, -76.923554"
33678,21003,0.1275035691926198,0.1275035691926198,ESTACION DE SERVICIOS PERCY CAR S.R.L.,VILLA EL SALVADOR,"AV. PASTOR SEVILLA Y AV. MARIA REICHE, MZ. A, LOTES 6 Y 7, SECTOR 2, 4TA ETAPA, URB. PACHACAMAC",PECSA,"-12.246239, -76.924694"
8176,9532,0.12878529528470226,0.12878529528470226,ESTACION DE SERVICIOS EL PINO E.I.R.L.,SAN LUIS,"JR. MANUEL ECHEANDIA N° 586 ESQ. CON AV. CIRCUNVALACIÓN MZ. A, LOTES 6,7 Y 8, URB. LOTIZACIÓN INDUSTRIAL EL PINO",PRIMAX,"-12.070373, -76.994121"
9532,8176,0.12878529528470226,0.12878529528470226,COMERCIAL HUMAY MAREJA S.A. (GRIFO VIA PUBLICA),SAN LUIS,AV. CIRCUNVALACION N° 1898-A URB. EL PINO,INDEPENDIENTE,"-12.071537, -76.9941"
14645,19958,0.13039320839179988,0.13039320839179988,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,JESUS MARIA,AV. CUBA N° 116 - 120  ESQ. CON AV. ARENALES N° 990,PECSA,"-12.074599, -77.037316"
14643,88618,0.1311394157646829,0.1311394157646829,EMPRESA INDUSTRIAL COMERCIAL Y DE SERVICIOS MATILDE LEON S.A.,INDEPENDENCIA,AV. TUPAC AMARU MZ. G LT. 1 Y 2 COOP. VIVIENDA SANTA LIGIA,PETROPERU,"-11.977605, -77.059268"
88618,14643,0.1311394157646829,0.1311394157646829,GRUPO DE GESTION C S.A.,INDEPENDENCIA,"AV. GERARDO UNGER Nº 4885, URB NARANJAL",PRIMAX,"-11.976991, -77.060298"
16612,16671,0.13292308173824932,0.13292308173824932,ABA SINGER & CIA. S.A.C.,LIMA,"AV. PETIT THOUARS N° 1148, URB. SANTA. BEATRIZ",INDEPENDIENTE,"-12.07558, -77.034801"
16671,16612,0.13292308173824932,0.13292308173824932,BEMCHO S.A.C.,LIMA,"CALLE SARGENTO VILLAR N° 308, 316, 318. ESQ. CON AV. PETIT THOUARS - URB. SANTA BEATRIZ",PRIMAX,"-12.076681, -77.034312"
16750,42755,0.13716984884347783,0.13716984884347783,KRE S.A.,SAN ISIDRO,AV. PETIT THOUARS  N° 2795,REPSOL,"-12.091303, -77.032248"
9464,100155,0.13789512056760528,0.13789512056760528,COESTI S.A.,LA VICTORIA,"AV. CANADA N 1189 - 1191, ESQ. CON CALLE VICTOR ALZAMORA",PRIMAX,"-12.08373, -77.012545"
100155,9464,0.13789512056760528,0.13789512056760528,COESTI S.A.,LA VICTORIA,"AV. NICOLAS ARRIOLA N° 710, URB. SANTA CATALINA",PRIMAX,"-12.083214, -77.013698"
